Species,Date,Age,Glass,Temp,KDTime,Pot.mean
Sub,3/13/2018,7,L,32,1047,N
Sub,3/18/2018,7,L,32.5,507,N
Sub,2/13/2018,7,L,33,351,Y
Imm,2/13/2018,7,L,33,716,N
Sub,2/13/2018,7,L,33,329,Y
Sub,2/13/2018,7,L,33,311,Y
Sub,2/13/2018,7,L,33,370,Y
Sub,2/13/2018,7,L,33,303,Y
Sub,2/13/2018,7,L,33,516,Y
Sub,2/13/2018,7,L,33,340,Y
Sub,2/13/2018,7,L,33,589,Y
Sub,2/13/2018,7,L,33,499,Y
Sub,2/13/2018,7,L,33,415,Y
Sub,2/6/2018,5,S,33.5,294,Y
Imm,2/6/2018,4,S,33.5,319,Y
Sub,2/6/2018,5,S,33.5,224,Y
Imm,2/6/2018,4,S,33.5,493,Y
Sub,2/6/2018,6,S,33.5,307,Y
Imm,2/6/2018,4,S,33.5,398,Y
Sub,2/6/2018,4,S,33.5,358,Y
Imm,2/6/2018,4,S,33.5,324,Y
Sub,2/6/2018,5,S,33.5,202.5,Y
Imm,2/6/2018,4,S,33.5,344,Y
Sub,2/6/2018,5,S,33.5,331,Y
Imm,2/6/2018,4,S,33.5,432,Y
Sub,2/6/2018,4,S,33.5,344,Y
Imm,2/6/2018,4,S,33.5,367,Y
Sub,2/6/2018,5,S,33.5,195,Y
Imm,2/6/2018,4,S,33.5,402,Y
Sub,2/6/2018,5,S,33.5,274,Y
Imm,2/6/2018,4,S,33.5,367,Y
Sub,2/6/2018,4,S,33.5,225,Y
Imm,2/6/2018,4,S,33.5,344,Y
Ruf,2/25/2018,7,S,33.5,587,N
Sub,1/11/2018,7,S,34,112,Y
Imm,1/11/2018,6,S,34,202,Y
Sub,1/11/2018,7,S,34,145,Y
Imm,1/11/2018,7,S,34,174,Y
Sub,1/11/2018,7,S,34,171,Y
Imm,1/11/2018,7,S,34,162,Y
Sub,1/11/2018,7,S,34,140,Y
Imm,1/11/2018,7,S,34,174,Y
Sub,1/11/2018,7,S,34,189,Y
Imm,1/11/2018,6,S,34,135,Y
Sub,1/11/2018,6,S,34,136,Y
Imm,1/11/2018,7,S,34,215,Y
Sub,1/11/2018,7,S,34,155,Y
Imm,1/11/2018,7,S,34,155,Y
Sub,1/11/2018,7,S,34,186,Y
Imm,1/11/2018,7,S,34,186,Y
Sub,1/11/2018,6,S,34,111,Y
Imm,1/11/2018,6,S,34,213,Y
Sub,1/11/2018,6,S,34,190,Y
Sub,1/11/2018,7,S,34,175,Y
Equ,1/17/2018,6,L,34,897,Y
Equ,1/17/2018,5,L,34,842,Y
Equ,1/17/2018,6,L,34,793,Y
Equ,1/17/2018,6,L,34,767,Y
Equ,1/17/2018,5,L,34,992,Y
Equ,1/17/2018,5,L,34,842,Y
Equ,1/17/2018,6,L,34,842,Y
Equ,1/17/2018,5,L,34,806,Y
Equ,1/17/2018,6,L,34,536,Y
Equ,1/17/2018,6,L,34,744,Y
Equ,1/17/2018,6,L,34,674,Y
Equ,1/17/2018,6,L,34,744,Y
Equ,1/17/2018,5,L,34,853,Y
Ruf,2/27/2018,7,S,34,339,Y
Ruf,2/27/2018,6,S,34,381,Y
Ruf,2/27/2018,7,S,34,462,Y
Ruf,2/27/2018,6,S,34,441,Y
Ruf,2/27/2018,7,S,34,478,Y
Ruf,2/27/2018,6,S,34,412,Y
Ruf,2/27/2018,7,S,34,454,Y
Ruf,2/27/2018,6,S,34,317,Y
Ruf,2/27/2018,7,S,34,511,Y
Ruf,2/27/2018,6,S,34,390,Y
Suz,3/8/2018,6,L,34,648.5,N
Sub,2/10/2018,7,S,34.5,102,Y
Imm,2/10/2018,7,S,34.5,96,Y
Sub,2/10/2018,5,S,34.5,102,Y
Imm,2/10/2018,7,S,34.5,146,Y
Sub,2/10/2018,7,S,34.5,119,Y
Imm,2/10/2018,7,S,34.5,109,Y
Sub,2/10/2018,6,S,34.5,109,Y
Imm,2/10/2018,7,S,34.5,103,Y
Sub,2/10/2018,7,S,34.5,106,Y
Imm,2/10/2018,7,S,34.5,115,Y
Sub,2/10/2018,7,S,34.5,62,Y
Imm,2/10/2018,7,S,34.5,156,Y
Sub,2/10/2018,5,S,34.5,100,Y
Imm,2/10/2018,7,S,34.5,134,Y
Sub,2/10/2018,5,S,34.5,104,Y
Imm,2/10/2018,7,S,34.5,163,Y
Sub,2/10/2018,7,S,34.5,111,Y
Imm,2/10/2018,7,S,34.5,134,Y
Sub,2/10/2018,5,S,34.5,107,Y
Imm,2/10/2018,7,S,34.5,127,Y
Ruf,2/23/2018,7,S,34.5,310,Y
Ruf,2/23/2018,6,S,34.5,347,Y
Ruf,2/23/2018,7,S,34.5,302,Y
Ruf,2/23/2018,6,S,34.5,320,Y
Ruf,2/23/2018,7,S,34.5,328,Y
Ruf,2/23/2018,6,S,34.5,366,Y
Ruf,2/23/2018,7,S,34.5,318,Y
Ruf,2/23/2018,6,S,34.5,311,Y
Ruf,2/23/2018,7,S,34.5,276,Y
Ruf,2/23/2018,6,S,34.5,303,Y
Suz,3/8/2018,6,S,34.5,360,Y
Suz,3/8/2018,6,S,34.5,447,Y
Suz,3/8/2018,6,S,34.5,436,Y
Suz,3/8/2018,6,S,34.5,415,Y
Suz,3/8/2018,6,S,34.5,458,Y
Suz,3/8/2018,6,S,34.5,490,Y
Suz,3/8/2018,6,S,34.5,436,Y
Suz,3/8/2018,6,S,34.5,404,Y
Suz,3/8/2018,6,S,34.5,426,Y
Equ,3/27/2018,7,L,34.5,666,Y
Equ,3/27/2018,7,L,34.5,619,Y
Equ,3/27/2018,7,L,34.5,533,Y
Equ,3/27/2018,7,L,34.5,456,Y
Equ,3/27/2018,7,L,34.5,444,Y
Equ,3/27/2018,7,L,34.5,691,Y
Equ,3/27/2018,7,L,34.5,739,Y
Equ,3/27/2018,7,L,34.5,521,Y
Equ,3/27/2018,7,L,34.5,634,Y
Mel,1/9/2018,6,L,35,661,N
Ruf,1/10/2018,6,S,35,100,Y
Imm,1/10/2018,7,S,35,100,Y
Sub,1/10/2018,6,S,35,78,Y
Ruf,1/10/2018,6,S,35,154,Y
Imm,1/10/2018,7,S,35,72,Y
Sub,1/10/2018,6,S,35,53,Y
Ruf,1/10/2018,6,S,35,149,Y
Imm,1/10/2018,7,S,35,62,Y
Sub,1/10/2018,7,S,35,76,Y
Ruf,1/10/2018,5,S,35,213,Y
Imm,1/10/2018,6,S,35,40,Y
Sub,1/10/2018,6,S,35,65,Y
Ruf,1/10/2018,6,S,35,205,Y
Imm,1/10/2018,7,S,35,41,Y
Sub,1/10/2018,6,S,35,65,Y
Ruf,1/10/2018,6,S,35,192,Y
Imm,1/10/2018,6,S,35,76,Y
Sub,1/10/2018,7,S,35,76,Y
Ruf,1/10/2018,5,S,35,192,Y
